URL|className|Score|ScoreExplanation|
http://www.nytimes.com/adx/bin/adx_click.html?type=goto&opzn&page=www.nytimes.com/pages/politics/index.html&pos=Bar1&sn2=f3960241/63c4cbea&sn1=2c7b9cbc/8a7f0e0e&camp=nyt2016_bar1_digi_cpb_67LXL&ad=nyt2016_bar1_digi_cpb_67LXL&goto=https%3A%2F%2Fwww%2Enytimes%2Ecom%2Fsubscriptions%2FMultiproduct%2Flp8HYKU%2Ehtml%3Fadxc%3D283987%26adxa%3D414213%26page%3Dwww.nytimes.com/pages/politics/index.html%26pos%3DBar1%26campaignId%3D67LXL|user-subscriptions-menu user-subscriptions-group bar1_hover|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/adx/bin/adx_click.html?type=goto&opzn&page=www.nytimes.com/pages/politics/index.html&pos=Bar1&sn2=f3960241/63c4cbea&sn1=2c7b9cbc/8a7f0e0e&camp=nyt2016_bar1_digi_cpb_67LXL&ad=nyt2016_bar1_digi_cpb_67LXL&goto=https%3A%2F%2Fwww%2Enytimes%2Ecom%2Fsubscriptions%2FMultiproduct%2Flp8HYKU%2Ehtml%3Fadxc%3D283987%26adxa%3D414213%26page%3Dwww.nytimes.com/pages/politics/index.html%26pos%3DBar1%26campaignId%3D67LXL|subscribe-link sub_small_hide|-20|X Position Score Adjustment: 0,Text too short penalty: -10,Text too few words penalty: -10,|
https://myaccount.nytimes.com/auth/login|NYT5Style|-30|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,|
https://myaccount.nytimes.com/gst/regi.html|NYT5Style|-20|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too few words penalty: -10,|
http://www.nytimes.com/membercenter/sitehelp.html|NYT5Style|-30|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,|
http://www.nytimes.com|first mainTabHome|-30|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,|
http://www.nytimes.com/pages/todayspaper/index.html|mainTabTodaysPaper|-13|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/video|mainTabVideo|-30|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,|
http://www.nytimes.com/mostpopular|mainTabMostPopular|-20|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too few words penalty: -10,|
http://www.nytimes.com|editionToggle|-42|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,All Caps Title Penalty: -12,|
